symbol,note
ETHUSDT_240628,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
ETHUSDT_240927,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
ETHUSDT_241227,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
ETHUSDT_250328,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
ETHUSDT_250627,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
ETHUSDT_250926,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
ETHUSDT_251226,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
ETHUSDT_260327,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
ETHUSDT_260626,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
FILBUSD,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
FOOTBALLUSDT,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
FRONTUSDT,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
FTMBUSD,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
FTTBUSD,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
GALABUSD,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
GALBUSD,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
GALUSDT,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
GMTBUSD,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
HNTUSDT,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
ICPBUSD,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
ICPUSDT_SETTLED,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
KEEPUSDT,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
LDOBUSD,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
LENDUSDT,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
LEVERBUSD,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
LINKBUSD,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
LITUSDTSETTLED,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
LTCBUSD,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
LUNA2BUSD,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
LUNABUSD,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
LUNAUSDT,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
MATICBUSD,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
MATICUSDC,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
MATICUSDT,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
MAVIAUSDTSETTLED,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
MBLUSDT,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
MINAUSDTSETTLED,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
NEARBUSD,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
NUUSDT,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
PHBBUSD,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
PUMPUSDTSETTLED,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
RNDRUSDT,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
SANDBUSD,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
SLPUSDTSETTLED,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
SOLBUSD,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
SRMUSDT,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
SXPUSDT,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
SXPUSDTSETTLED,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
TLMBUSD,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
TLMUSDTSETTLED,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
TOMOUSDT,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
TRXBUSD,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
UNIBUSD,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
WAVESBUSD,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
XRPBUSD,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
YFIIUSDT,"in archive, absent from live exchangeInfo -> delisted; classify COIN vs TradFi by base asset"
